l_id,title,location,description,price,amenities,rating,imageUrls,__v
1,Micasa Apartments1,"Kasarani, Nairobi",Spacious 2 bedroom house,Ksh 12000 ,"['2 baths', '2 bedrooms', 'hot shower', 'gym', 'parking space']",4,"['Apartment1.jpg', 'Apartment5.jpg']",0
2,Ridge Apartments,"Kasarani, Nairobi",Luxurious modern 3 bedroom house,Ksh 18000,"['2 baths', '3 bedrooms', 'patio', 'hot shower', 'gym', 'kids playground', 'parking space']",5,"['Apartment2.jpg', 'Apartment6.jpg']",0
3,Highway Complex,"Safari Park, Nairobi",Luxurious modern 3 bedroom house,Ksh 20000,"['2 baths', '3 bedrooms', 'spacious balcony', 'hot shower', 'gym', 'kids playground', 'parking space', 'laundry room']",3.4,"['Apartment3.jpg', 'Apartment7.jpg']",0
4,Grand Heights Apartments,"Seasons Kasarani Mwiki RD, Nairobi",Beautiful Apartments,Ksh 15000,"['2 baths', '2 bedrooms', 'hot shower', 'balcony', 'gym', 'parking space']",5,"['Apartment4.jpg', 'Apartment8.jpg']",0
5,Gemini Homes,"Seasons Kasarani Mwiki RD, Nairobi",Mordern and aesthetic homes,Ksh 18000,"['2 baths', '2 bedrooms', 'hot shower', 'balcony', 'gym', 'swimming pool', 'parking space']",4,"['Apartment9.jpg', 'Apartment10.jpg']",0
6,Grand View Apartments,"Hunters Kasarani Mwiki RD, Nairobi",Beautiful Apartments,Ksh 18000,"['2 baths', '2 bedrooms', 'hot shower', 'community gym', 'balcony', 'parking space', 'laundry room']",3,"['Apartment11.jpg', 'Apartment12.jpg']",0
7,Garden Estates,"Garden Estate, Nairobi",Beautiful gardens and lively surroundings,Ksh 23000,"['2 baths', '3 bedrooms', 'hot shower', 'patio', 'community gym', 'community pool', 'parking space']",5,"['Hoodview.jpg', 'Patio1.jpg']",0
8,Point View Apartments,Nakuru,Furnished 1 bedroom apartments with great view of the Great Lake Nakuru. Located near the Nakuru National Reserve and has a great variety of rich and beautiful vicinity.,13000,"['1 bedroom', '1 bathroom', 'patio', 'kids play area', 'gym', 'community pool', 'parking space', 'own garden', 'lift', 'laundry', '']",3,"['Patio2.jpg', '1731494102306-Stairway.jpg', '1731494102373-FrontView.jpg', '1731494102379-CoffeeTable.jpg']",1
9,Mitch Bloc,"Milimani, Nakuru",Fantastic Homes with beautiful surroundings and scenery. ,20000,"['2 Bedrooms', '2 Bathrooms', 'Spacious Kitchen', 'swimming pool', 'gym', 'laundry machine', 'mini mart', 'kids play area', 'chemist', 'water refill station', 'car wash', 'parking', 'lift']",4,"['1730962318035-pool2.jpg', '1730962318127-kidplaying.jpg', '1730962318186-Gym3.jpg', '1730962318229-Bathroom4.jpg', '1730962318280-Interior1.jpg', '1730962318288-Apartment14.jpg', '1730962318336-Apartment13.jpg']",0
11,Mitch Block Phase Two,"Lakeview, Nakuru",Fancy and beautiful apartments. Clean water and fantastic views. Lovely lake with boats and cool fantastic sports like kayaking nearby,16000,"['3 bedrooms', '2 bathrooms', 'patio', 'firepit', 'spacious kitchen', 'gym', 'garden', 'water station', 'pool']",5,"['1730989084055-Livingroom.jpg', '1730989084098-Kitchen.jpg', '1730989084107-FrontView.jpg', '1730989084113-CoffeeTable.jpg', '1730989084131-ApartmentComp.jpg', '1730989084146-Patio1.jpg', '1730989084165-pool2.jpg', '1730989084195-Gym3.jpg', '1730989084215-Bathroom4.jpg']",0
